ABV,Nnamdi Azikiwe International Airport,DNAA,Abuja,24 hrs,Abuja
ANA,Anambra International Cargo Airport,DNAN,Anambra,24 hrs,Anambra
ENU,Akanu Ibiam International Airport,DNEN,Enugu,24 hrs,Enugu
ILR,Ilorin International Airport,DNIL,Ilorin,24 hrs,Kwara
KAD,Kaduna International Airport,DNKA,Kaduna,24 hrs,Kaduna
KAN,Mallam Aminu Kano International Airport,DNKN,Kano,24 hrs,Kano
LOS,Murtala Muhammed International Airport,DNMM,Lagos,24 hrs,Lagos
PHC,Port Harcourt International Airport,DNPO,PortHarcourt,24 hrs,Rivers
SKO,Sadiq Abubakar III International Airport,DNSO,Sokoto,24 hrs,Sokoto
ABB,Asaba International Airport,DNAS,Asaba,24 hrs,Delta
BCU,Sir Abubakar Tafawa Balewa Airport,DNBC,Bauchi,24 hrs,Bauchi
BNI,Benin Airport,DNBE,Benin,24 hrs,Edo
CBQ,Margaret Ekpo International Airport,DNCA,Calabar,24 hrs,Cross River
IBA,Ibadan Airport,DNIB,Ibadan,24 hrs,Oyo
JOS,Yakubu Gowon Airport,DNJO,Jos,24 hrs,Plateau
MIU,Maiduguri International Airport,DNMA,Maiduguri,24 hrs,Borno
QOW,Sam Mbakwe International Cargo Airport (SMICA),DNIM,Owerri,24 hrs,Imo
QUO,Akwa Ibom Airport (Victor Attah Int'l),DNAI,Uyo,24 hrs,Akwa Ibom
YOL,Yola Airport,DNYO,Yola,24 hrs,Adamawa
